specimen_id	e-type	m-type	me-type	upright_angle	soma_distance_from_pia	estimated_shrinkage_factor	estimated_slice_angle	line_name	specimen__id	specimen__name	specimen__hemisphere	structure__id	structure__name	structure__acronym	structure_parent__id	structure_parent__acronym	structure__layer	nr__max_euclidean_distance	nr__number_stems	nr__number_bifurcations	nr__average_contraction	nr__average_parent_daughter_ratio	nr__reconstruction_type	nrwkf__id	erwkf__id	ef__fast_trough_v_long_square	ef__upstroke_downstroke_ratio_long_square	ef__adaptation	ef__f_i_curve_slope	ef__threshold_i_long_square	ef__tau	ef__avg_isi	ef__avg_firing_rate	ef__ri	ef__peak_t_ramp	ef__vrest	si__height	si__width	si__path	csl__x	csl__y	csl__z	csl__normalized_depth	cell_reporter_status	m__glif	m__biophys	m__biophys_perisomatic	m__biophys_all_active	tag__apical	tag__dendrite_type	morph_thumb_path	ephys_thumb_path	ephys_inst_thresh_thumb_path	donor__age	donor__sex	donor__disease_state	donor__race	donor__years_of_seizure_history	donor__species	donor__id	donor__name
313860745	Exc_3							Rorb-IRES2-Cre	313860745	Rorb-IRES2-Cre-D;Ai14-168047.01.02.01	left	778	"""Primary visual area, layer 5"""	VISp5	385	VISp	5								496895112	-48.96875	3.32915240764092	0.0145937568566344	0.182361658374822	59.999996185302706	25.0833391583527	63.3460714285714	15.786298620390301	210.624992847443	3.25907833333333	-68.50262451171879	5749.0	5748.0	/external/mousecelltypes/prod143/specimen_313860745/min_xy_313860745.aff	9582.443948480699	1397.13172221305	8104.9358954627005	0.629235722632971	positive	2	0	0	0	truncated	spiny		/api/v2/well_known_file_download/487620148	/api/v2/well_known_file_download/491382309						Mus musculus	313401568	Rorb-IRES2-Cre-D;Ai14(IVSCC)-168047
313861411	Inh_10							Pvalb-IRES-Cre	313861411	Pvalb-IRES-Cre;Ai14-165172.05.02.01	right	501	"""posteromedial visual area, layer 4"""	VISpm4	533	VISpm	4								496895264	-55.468753814697294	1.4533911610538	0.00277421902588356	0.75396519242853	160.0	7.93224649857499	13.8646478873239	72.12588506587859	135.31261682510402	7.71532166666667	-68.6992721557617				8163.71831638966	737.363292309386	3757.04018141007	0.41669748217899893	positive	0	0	0	0		aspiny		/api/v2/well_known_file_download/487616762	/api/v2/well_known_file_download/491383050						Mus musculus	312883117	Pvalb-IRES-Cre;Ai14(IVSCC)-165172
313861539	Inh_9							Pvalb-IRES-Cre	313861539	Pvalb-IRES-Cre;Ai14-165171.06.02.01	right	721	"""Primary visual area, layer 4"""	VISp4	385	VISp	4								496895085	-64.6875	1.1277132372016299	-0.00953521566790418	1.30783621800145	370.0	6.519084682980631	10.5101818181818	95.1458326125317	69.0625384449959	13.088391666666698	-60.538299560546896	7582.0	5741.0	/external/mousecelltypes/prod132/specimen_313861539/min_xy_313861539.aff	7805.75587107124	974.54485808898	3187.2259410774104	0.530617180203861	positive	0	0	0	0		aspiny		/api/v2/well_known_file_download/487616528	/api/v2/well_known_file_download/491382778						Mus musculus	312883105	Pvalb-IRES-Cre;Ai14(IVSCC)-165171
313861608	Inh_8							Pvalb-IRES-Cre	313861608	Pvalb-IRES-Cre;Ai14-165874.04.02.01	right	778	"""Primary visual area, layer 5"""	VISp5	385	VISp	5	325.767695597983	7.0	25.0	0.9094123162213421	0.8453448528795781	dendrite-only	491119572.0	491200051	-65.3125076293945	1.4057090130087098	0.0472376080557392	1.44336501231961	290.0	22.5837160764169	11.16875	89.5355344152211	81.2499970197678	16.60613	-74.6396560668945	5738.0	5744.0	/external/mousecelltypes/prod132/specimen_313861608/min_xy_313861608.aff	9349.440515005641	1314.78991021449	3245.6530399461103	0.634782859188397	positive	5	1	1	0		aspiny	/api/v2/well_known_file_download/487660673	/api/v2/well_known_file_download/487621552	/api/v2/well_known_file_download/491378755						Mus musculus	312883129	Pvalb-IRES-Cre;Ai14(IVSCC)-165874
313861677	Exc_3							Rorb-IRES2-Cre	313861677	Rorb-IRES2-Cre-D;Ai14-166229.04.01.01	left	721	"""Primary visual area, layer 4"""	VISp4	385	VISp	4								496895029	-48.3125	4.78039608300647		0.15943025540275	70.0	21.1076413318402			220.937460660934	2.709475	-71.0636901855469	9423.0	5734.0	/external/mousecelltypes/prod132/specimen_313861677/min_xy_313861677.aff	8440.72712445293	861.63534367222	7873.85645754727	0.5133100843377489	positive	5	0	0	0	truncated	spiny		/api/v2/well_known_file_download/487619365	/api/v2/well_known_file_download/491377031						Mus musculus	312883177	Rorb-IRES2-Cre-D;Ai14(IVSCC)-166229
313861794	Exc_3							Scnn1a-Tg3-Cre	313861794	Scnn1a-Tg3-Cre;Ai14-167070.04.01.01	left	573	"""Lateral visual area, layer 4"""	VISl4	409	VISl	4								491200821	-46.218753814697294	3.98555621875442	0.29987323210774897	0.0785526377574887	110.0	31.9673300373894	108.91	9.181893306399779	181.24999105930303	3.84072666666667	-75.0998992919922	5737.0	5741.0	/external/mousecelltypes/prod132/specimen_313861794/min_xy_313861794.aff	9375.0	1888.5145259868802	9237.21007607739	0.49517966709997296	positive	5	0	0	0	truncated	spiny		/api/v2/well_known_file_download/487625958	/api/v2/well_known_file_download/491377596						Mus musculus	313401484	Scnn1a-Tg3-Cre;Ai14(IVSCC)-167070
313861828	Exc_3							Scnn1a-Tg3-Cre	313861828	Scnn1a-Tg3-Cre;Ai14-167070.05.01.01	left	721	"""Primary visual area, layer 4"""	VISp4	385	VISp	4								496894906	-48.96875	2.4871608297696404	0.0341315331370377	0.17738095238095303	70.0	19.940833614737002	71.885	13.911108019753803	260.78134775161703	2.8985525	-74.8125076293945	7573.0	5737.0	/external/mousecelltypes/prod132/specimen_313861828/min_xy_313861828.aff	8730.0	1161.64064901016	8409.66023423406	0.4132521216571621	positive	2	0	0	0	intact	spiny		/api/v2/well_known_file_download/487625299	/api/v2/well_known_file_download/491383191						Mus musculus	313401484	Scnn1a-Tg3-Cre;Ai14(IVSCC)-167070
313861934	Exc_3							Scnn1a-Tg3-Cre	313861934	Scnn1a-Tg3-Cre;Ai14-167073.06.02.01	right	721	"""Primary visual area, layer 4"""	VISp4	385	VISp	4								496895244	-51.40625	3.4699087129664505	0.251519266108922	0.0672619047619048	70.0	23.8377884466606	116.715	8.56787902154822	232.03136026859298	2.491635	-75.24058532714841	3907.0	7580.0	/external/mousecelltypes/prod132/specimen_313861934/min_xy_313861934.aff	8400.0	1159.87888014297	2743.6423926727202	0.5151422410644471	positive	0	0	0	0	truncated	spiny		/api/v2/well_known_file_download/487625786	/api/v2/well_known_file_download/491377391						Mus musculus	313401496	Scnn1a-Tg3-Cre;Ai14(IVSCC)-167073
313862022	Exc_3	Spiny_8	ME_Exc_6	150.31995544785	492.100275160717	2.97763625025	-25.4531072659	Scnn1a-Tg2-Cre	313862022	Scnn1a-Tg2-Cre;Ai14-167081.03.02.01	right	721	"""Primary visual area, layer 4"""	VISp4	385	VISp	4	488.514987082444	8.0	39.0	0.878773271910013	1.1223625067110001	dendrite-only	397905350.0	491201627	-49.1875	5.2611661772553	0.288858288977703	0.16213872832369902	190.0	17.0602466831779	147.79	6.76635766966642	58.2812875509262	3.5747699999999996	-63.5755844116211	7570.0	5762.0	/external/mousecelltypes/prod146/specimen_313862022/min_xy_313862022.aff	9489.24257509068	1423.6523902814802	2785.44307154461	0.46163412384743696	positive	0	1	1	0	intact	spiny	/api/v2/well_known_file_download/487659609	/api/v2/well_known_file_download/487623088	/api/v2/well_known_file_download/491376069						Mus musculus	313401508	Scnn1a-Tg2-Cre;Ai14(IVSCC)-167081
313862134	Inh_13							Sst-IRES-Cre	313862134	Sst-IRES-Cre;Ai14-167638.03.01.01	left	778	"""Primary visual area, layer 5"""	VISp5	385	VISp	5								491199260	-62.59375	1.47123335977923	0.00320756129564941	0.739600889177175	110.0	11.3302379491167	18.2135185185185	54.904273382611706	219.218745827675	6.20605833333333	-74.1142349243164				9629.04463517571	1669.04918008749	8718.95488007277	0.572996190275822	positive	5	0	0	0		aspiny		/api/v2/well_known_file_download/487633904	/api/v2/well_known_file_download/491383199						Mus musculus	313401544	Sst-IRES-Cre;Ai14(IVSCC)-167638
