	Species	nm_volume	average_bifurcation_angle_local	average_bifurcation_angle_remote	average_contraction	average_diameter	average_fragmentation	average_parent_daughter_ratio	hausdorff_dimension	id	max_branch_order	max_euclidean_distance	max_path_distance	neuron_reconstruction_type	number_bifurcations	number_branches	number_nodes	number_stems	number_tips	overall_depth	overall_height	overall_width	scale_factor_x	scale_factor_y	scale_factor_z	soma_surface	superseded	tags	total_length	total_surface	vaa3d_volume	line_name	specimen__name	specimen__hemisphere	structure__id	structure__name	structure__acronym	structure_parent__id	structure_parent__acronym	structure__layer	nr__max_euclidean_distance	nr__number_stems	nr__number_bifurcations	nr__average_contraction	nr__average_parent_daughter_ratio	nr__reconstruction_type	nrwkf__id	erwkf__id	ef__fast_trough_v_long_square	ef__upstroke_downstroke_ratio_long_square	ef__adaptation	ef__f_i_curve_slope	ef__threshold_i_long_square	ef__tau	ef__avg_isi	ef__avg_firing_rate	ef__ri	ef__peak_t_ramp	ef__vrest	si__height	si__width	si__path	csl__x	csl__y	csl__z	csl__normalized_depth	cell_reporter_status	m__glif	m__biophys	m__biophys_perisomatic	m__biophys_all_active	tag__apical	tag__dendrite_type	morph_thumb_path	ephys_thumb_path	ephys_inst_thresh_thumb_path	donor__age	donor__sex	donor__disease_state	donor__race	donor__years_of_seizure_history	donor__species	donor__id	donor__name	e-type	m-type	me-type	upright_angle	soma_distance_from_pia	estimated_shrinkage_factor	estimated_slice_angle	cell_set_preferred_alias	cell_set_ label	cell_set_ accession	cell_set_ aligned_alias	cell_set_  additional_alias	cell_set_ alias_assignee	cell_set_ alias_citation	cell_set_ structure	cell_set_ ontology_tag	taxonomy_id	species	modality
313862167	Mouse	3074.544326317512	62.16311814653871		0.930363535415248	0.46488706075571795	59.4864864864865	0.858529232947957		759904803	5.0	247.73779145289902	254.99882124689	full	19	43	2268	5	24	56.3931	383.26076159568703	327.15038269150904	0.1144	0.1144	0.28	361.11855852210704	False	3D Neuron Reconstruction morphology	2644.8782981115696	3883.6986041822797	512.836253022058	Sst-IRES-Cre	Sst-IRES-Cre;Ai14-167638.05.02.01	right	573	"""Lateral visual area, layer 4"""	VISl4	409	VISl	4	247.73779145289902	5.0	19.0	0.930363535415248	0.858529232947957	full	759904806.0	491199181	-58.15625	1.66391321202204	0.00312046281185448	0.41309525744985	130.0	12.185558878206999	30.758833333333303	32.5109860040206	181.874960660934	6.30261166666667	-79.63563537597659	5748.0	7583.0	/external/mousecelltypes/prod132/specimen_313862167/min_xy_313862167.aff	9279.53948496313	1831.03502009105	2151.24431991082	0.34021315400510305	positive	5	2	1	1		aspiny	/api/v2/well_known_file_download/759912542	/api/v2/well_known_file_download/487629223	/api/v2/well_known_file_download/491382005						Mus musculus	313401544	Sst-IRES-Cre;Ai14(IVSCC)-167638	Inh_13	Aspiny_1	ME_Inh_15	119.629704922695	408.467273222669	2.03059939232999	-21.2132685127	ME_Inh_15	ME 15	CS201906170_15		L1-innervating ascending axon L2/3, L4|mid-width AP adapting & FS pausing 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
321708130	Mouse	4330.064060087196	84.56668540013459		0.914024222762743	0.31719335967432105	51.47222222222221	0.9144983246737171		759896998	4.0	171.928464877489	204.96444581228002	full	18	43	1970	7	25	76.8166	240.772521519074	276.926431489319	0.1144	0.1144	0.28	755.9871718122799	False	3D Neuron Reconstruction morphology	2335.8309494923496	2326.27850621721	188.047372894881	Pvalb-IRES-Cre	Pvalb-IRES-Cre;Ai14-172101.05.02.01	right	778	"""Primary visual area, layer 5"""	VISp5	385	VISp	5	171.928464877489	7.0	18.0	0.914024222762743	0.9144983246737171	full	759897000.0	491200082	-60.65625	1.5456150204431103	0.00033726546767561097	1.04285746593871	370.0	7.83297565725698	11.1551136363636	89.64498548362481	103.750072419643	14.121235	-81.0082778930664	5745.0	5754.0	/external/mousecelltypes/prod185/specimen_321708130/min_xy_321708130.aff	8618.0	1369.4324205859698	3174.10337433115	0.757310128575636	positive	0	1	1	0		aspiny	/api/v2/well_known_file_download/759903198	/api/v2/well_known_file_download/487624519	/api/v2/well_known_file_download/491378219						Mus musculus	320827555	Pvalb-IRES-Cre;Ai14(IVSCC)-172101	Inh_11	Aspiny_4	ME_Inh_6	165.768563621035	816.058572085458	3.40136054422	-10.1659315987	ME_Inh_6	ME 06	CS201906170_6		Wide axon, large dendrites L6|FS transient & sustained 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
323452196	Mouse	3878.987015688152	70.3599316593174		0.93187574293598	0.146124991370862	40.25	0.852782596468727		513556739	3.0	197.455069650288	204.522929772535	full	6	18	581	6	12	47.04	157.583432764997	271.54229511660196	0.1144	0.1144	0.28	82.7362267439712	False	3D Neuron Reconstruction morphology	669.4124557507511	308.88050641484904	11.2120908928843	Sst-IRES-Cre	Sst-IRES-Cre;Ai14-172534.04.02.01	right	33	"""Primary visual area, layer 6a"""	VISp6a	385	VISp	6a	197.455069650288	6.0	6.0	0.93187574293598	0.852782596468727	full	513556741.0	491199333	-65.8125	1.2636773215394699	0.00275832721013023	0.542210144927536	270.0	9.880049893029131	12.570641025641	79.55043803734809	104.68788444995899	9.8682575	-72.1359558105469	7592.0	7597.0	/external/mousecelltypes/prod217/specimen_323452196/min_xy_323452196.aff	9023.23570814057	1886.9714200855801	2729.3802399228603	0.92342542970369	positive	0	1	1	0		aspiny	/api/v2/well_known_file_download/487659497	/api/v2/well_known_file_download/491376750	/api/v2/well_known_file_download/491376753						Mus musculus	320827615	Sst-IRES-Cre;Ai14(IVSCC)-172534	Inh_10	Aspiny_10	ME_Inh_11	132.392836861903	990.891894827143	2.41794112313	-20.9368226196	ME_Inh_11	ME 11	CS201906170_11		Ascending axon L5, L6|FS delayed/pausing 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
323475862	Mouse	1675.1219700221664	73.2999604314323		0.8963491457274491	0.26786901493141896	44.678571428571395	0.8451826773495941		760196580	6.0	198.75738366536203	224.94253508161498	full	14	34	1433	6	20	68.18	247.547693155816	291.582190269382	0.1144	0.1144	0.28	249.288252097134	False	3D Neuron Reconstruction morphology	1682.42170277413	1411.0880941122598	106.66985627160601	Sst-IRES-Cre	Sst-IRES-Cre;Ai14-172534.06.01.01	left	778	"""Primary visual area, layer 5"""	VISp5	385	VISp	5	198.75738366536203	6.0	14.0	0.8963491457274491	0.8451826773495941	full	760196588.0	491199644	-52.84375	2.14434464861127	0.262937554653921	0.112884160756501	70.0	36.3739686150601	160.955	6.21291665372309	320.535778999329	3.1508849999999997	-70.04547119140621	5743.0	7582.0	/external/mousecelltypes/prod187/specimen_323475862/min_xy_323475862.aff	8277.624721020391	1252.35272652823	8520.35104007605	0.5968025719657071	positive	0	1	1	0		aspiny	/api/v2/well_known_file_download/760221069	/api/v2/well_known_file_download/487632380	/api/v2/well_known_file_download/491381998						Mus musculus	320827615	Sst-IRES-Cre;Ai14(IVSCC)-172534	Inh_5	Aspiny_9	ME_Inh_26	33.0925247109633	607.239560066408	3.67098772513	-4.12446676227	ME_Inh_26	ME 26	CS201906170_26		Ascending small axon L5, L4|mid-width AP transient/irregular 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
324266189	Mouse	3369.2232226954698	73.4068347227088		0.885431022028078	0.471252268074634	55.75	0.849701344596509		657301037	5.0	183.250753631247	217.33373304788398	full	12	28	1402	4	16	94.2998	331.170179766346	263.45196153981004	0.1144	0.1144	0.28	338.556461797447	False	3D Neuron Reconstruction morphology	1696.59146308595	2533.99531544614	329.294336815294	Sst-IRES-Cre	Sst-IRES-Cre;Ai14-173191.06.02.01	right	821	"""Primary visual area, layer 2/3"""	VISp2/3	385	VISp	2/3	183.250753631247	4.0	12.0	0.885431022028078	0.849701344596509	full	657301039.0	491199854	-63.249996185302706	1.7641552025162102	0.00907719143355048	0.36943277310924394	70.0	23.790068991736103	47.4734210526316	21.0644183171747	236.249998211861	3.4258050000000004	-67.1558456420898	7583.0	5733.0	/external/mousecelltypes/prod210/specimen_324266189/min_xy_324266189.aff	8204.94757441442	1065.63599899412	2604.26961553893	0.35430650710386796	positive	2	2	1	1		sparsely spiny	/api/v2/well_known_file_download/490149876	/api/v2/well_known_file_download/487632867	/api/v2/well_known_file_download/491377987						Mus musculus	322489513	Sst-IRES-Cre;Ai14(IVSCC)-173191	Inh_6	Aspiny_1	ME_Inh_25	154.796754541862	321.145936807381	2.21197529394	-2.20749706544999	ME_Inh_25	ME 25	CS201906170_25		L1-innervating ascending axon L2/3, L4 & ascending large axon L5|mid-width AP adapting 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
324493977	Mouse	2920.9155497576576	78.31236804002421		0.912228629394595	0.31651480782531105	45.6071428571429	0.9318270477529399		657247331	7.0	208.70436161606702	225.49605972647998	full	28	62	2691	6	34	59.36	316.651487610921	263.331599235058	0.1144	0.1144	0.28	355.47220154208605	False	3D Neuron Reconstruction morphology	3161.0018316467304	3143.82810720632	264.610228976291	Sst-IRES-Cre	Sst-IRES-Cre;Ai14-173196.03.01.01	right	821	"""Primary visual area, layer 2/3"""	VISp2/3	385	VISp	2/3	208.70436161606702	6.0	28.0	0.912228629394595	0.9318270477529399	full	657247333.0	491200139	-52.343753814697294	1.5258010763777599	0.00444071360292892	0.34169961103912705	119.99999237060499	19.8981590320805	44.7261904761905	22.3582645727974	185.937494039536	5.82462166666667	-71.815055847168	5759.0	7604.0	/external/mousecelltypes/prod198/specimen_324493977/min_xy_324493977.aff	9419.341545048159	1186.5318034339	2730.0779999247698	0.23921051266659502	positive	5	2	1	1		aspiny	/api/v2/well_known_file_download/487660947	/api/v2/well_known_file_download/487635281	/api/v2/well_known_file_download/491377868						Mus musculus	322489543	Sst-IRES-Cre;Ai14(IVSCC)-173196	Inh_6	Aspiny_1	ME_Inh_15	207.331781508371	266.56197481549	3.13822979226	21.8094781215	ME_Inh_15	ME 15	CS201906170_15		L1-innervating ascending axon L2/3, L4|mid-width AP adapting & FS pausing 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
327962063	Mouse	1178.4603814390207	72.12020452266151		0.8797182633771709	0.32116257854521396	41.45	0.9102529527866701		491119419	5.0	265.22226197974	298.720088842983	full	20	43	1787	3	23	98.8344	417.89061995154196	193.590562530523	0.1144	0.1144	0.28	252.4236723228	False	3D Neuron Reconstruction morphology	2066.36972922975	2085.7898613083803	180.44641369007599	Htr3a-Cre_NO152	Htr3a-Cre_NO152;Ai14-175482.03.02.01	right	821	"""Primary visual area, layer 2/3"""	VISp2/3	385	VISp	2/3	265.22226197974	3.0	20.0	0.8797182633771709	0.9102529527866701	full	491119421.0	491197934	-52.500003814697294	2.99437911380745	0.016399262850573998	0.4576719576719579	50.0	15.78023149214	29.422424242424302	33.9876820400848	279.062509536743	3.00173	-73.481330871582	5745.0	5752.0	/external/mousecelltypes/prod237/specimen_327962063/min_xy_327962063.aff	9094.0	705.7704883053469	3826.5282258254206	0.250539168459047	positive	2	2	1	1		aspiny	/api/v2/well_known_file_download/487660946	/api/v2/well_known_file_download/487609177	/api/v2/well_known_file_download/491382993						Mus musculus	325632898	Htr3a-Cre_NO152;Ai14(IVSCC)-175482	Inh_3	Aspiny_13	ME_Inh_2	202.334201449042	251.966324076991	3.49491140898999	16.8124979437	ME_Inh_2	ME 02	CS201906170_2		Descending axon, bidirectional dendrites L2/3|transient & irregular, sharp sag 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
333604946	Mouse	2698.1761297455278	64.04187454449131		0.900890173455981	0.143875161951334	48.75	0.95925567924672		491119484	4.0	173.483700258439	197.009916090746	full	18	42	1831	6	24	75.88	256.26258724882	233.54498828437	0.1144	0.1144	0.28	81.688935644951	False	3D Neuron Reconstruction morphology	2163.10026183243	979.330115909261	35.713918657004704	Pvalb-IRES-Cre	Pvalb-IRES-Cre;Ai14-176848.03.01.01	left	821	"""Primary visual area, layer 2/3"""	VISp2/3	385	VISp	2/3	173.483700258439	6.0	18.0	0.900890173455981	0.95925567924672	full	491119486.0	491199980	-54.0	1.3180304654657602	0.0063711964926447704	0.7452160305501491	230.0	7.1866761920389495	22.67625	44.0990022600739	114.062502980232	10.992818333333302	-73.1888122558594	5761.0	5759.0	/external/mousecelltypes/prod248/specimen_333604946/min_xy_333604946.aff	9278.62419924	1426.41170974	8840.63333726	0.312988202203568	positive	0	2	1	1		aspiny	/api/v2/well_known_file_download/487658885	/api/v2/well_known_file_download/487624232	/api/v2/well_known_file_download/491383925						Mus musculus	329549817	Pvalb-IRES-Cre;Ai14(IVSCC)-176848	Inh_13	Aspiny_8	ME_Inh_12	227.751743580467	347.950740253314	3.07414104882	-21.0627992834	ME_Inh_12	ME 12	CS201906170_12		Small axon, intersecting dendrites|FS delayed/pausing 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
333785962	Mouse	2416.757929675612	71.8583644776433		0.93548035494889	0.18502084656158604	41.586956521739104	0.823549480663284		513557613	6.0	244.535000351974	293.124419855587	full	23	50	2013	4	27	74.382	374.241806832465	282.804723950416	0.1144	0.1144	0.28	36.960113678634	False	3D Neuron Reconstruction morphology	2391.5039885512197	1387.24218589508	71.348875252459	Pvalb-IRES-Cre	Pvalb-IRES-Cre;Ai14-176852.05.02.01	right	778	"""Primary visual area, layer 5"""	VISp5	385	VISp	5	244.535000351974	4.0	23.0	0.93548035494889	0.823549480663284	full	513557616.0	491199989	-57.218753814697294	1.1475003704720501		0.7664774604375991	370.0	7.55196410142641	5.5700000000000705	179.53321364452202	107.18750208616301	14.743865	-75.84934997558591	5745.0	5752.0	/external/mousecelltypes/prod248/specimen_333785962/min_xy_333785962.aff	8114.52231758785	1204.27156000465	2864.70423993653	0.577539929868268	positive	0	0	0	0		aspiny	/api/v2/well_known_file_download/487660478	/api/v2/well_known_file_download/487621449	/api/v2/well_known_file_download/491378562						Mus musculus	329549843	Pvalb-IRES-Cre;Ai14(IVSCC)-176852	Inh_2	Aspiny_9	ME_Inh_13	133.873988566353	519.050001875365	2.94587687708	-2.26629065979	ME_Inh_13	ME 13	CS201906170_13		Ascending small axon L5, L4|FS transient & sustained 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
341442651	Mouse	5529.8394491440795	69.651256206997		0.9106429258248291	0.147191700428904	31.3432835820896	0.882168958928913		657253247	4.0	156.915589606259	162.71611473986098	full	34	77	2222	9	43	73.08	257.934584973857	233.54942735636502	0.1144	0.1144	0.28	65.6380515939482	False	3D Neuron Reconstruction morphology	2650.55240753195	1225.43869446871	46.0345360846925	Pvalb-IRES-Cre	Pvalb-IRES-Cre;Ai14-178310.02.01.01	left	821	"""Primary visual area, layer 2/3"""	VISp2/3	385	VISp	2/3	156.915589606259	9.0	34.0	0.9106429258248291	0.882168958928913	full	657253249.0	491200479	-57.781253814697294	1.27006529374991	-0.00857484282178887	0.577354454302538	350.0	6.8523108291805	29.3043333333333	34.1246459567982	66.5624216198921	15.868245000000002	-82.11767578125	5756.0	5762.0	/external/mousecelltypes/prod250/specimen_341442651/min_xy_341442651.aff	9489.24257509068	1066.89653012974	8351.38936006894	0.192829221330121	positive	2	2	1	1		aspiny	/api/v2/well_known_file_download/487660130	/api/v2/well_known_file_download/487619147	/api/v2/well_known_file_download/491384424						Mus musculus	329549869	Pvalb-IRES-Cre;Ai14(IVSCC)-178310	Inh_12	Aspiny_7	ME_Inh_10	225.56431208911	203.19262819878	2.20458553792	-22.5824356111	ME_Inh_10	ME 10	CS201906170_10		Ascending axon|FS delayed & sustained 	Nathan Gouwens	10.1038/s41593-019-0417-0	primary visual cortex	UBERON_0002436	CCN201906170	Mouse	Morphology|Electrophysiology
