Species	Specimen_ID	nm_volume	Vaa3D_volume
Mouse	555241040	3149.566950550533	101.07712537530199
Mouse	530737765	3417.700938650117	790.996803427755
Mouse	584872371	1615.3187173866336	284.329839386667
Mouse	574038330	3222.967899808999	941.1135443366479
Mouse	477127614	1757.481248763785	63.0815212774907
Mouse	560965993	2754.1221684107727	96.9146586572635
Mouse	566671538	1424.3510222088128	485.03563687924895
Mouse	579662957	2428.3010564689507	152.010768229695
Mouse	475068599	3737.954739369713	279.563857273845
Mouse	585841870	1919.2977372725027	292.828041821357
Mouse	565888394	3184.109648668747	821.320248530678
Mouse	517345160	3414.5191213830767	541.963438210962
Mouse	524689239	2024.9178642670413	376.00620071165804
Mouse	585805211	2888.371527710123	644.348239138419
Mouse	555697303	2429.3043512362037	516.5671200947589
Mouse	586073850	1951.8610051151745	375.25464176118896
Mouse	585947309	1539.8395737472956	7.02457963793561
Mouse	586072464	2161.042697401142	905.884732062933
Mouse	527095729	3434.3671219899907	98.3074755014962
Mouse	561325425	2042.6535645914646	288.65373679505404
Mouse	585830272	1749.1267881855426	367.176308103562
Mouse	565120091	3406.665339591773	963.188529704693
Mouse	592952680	3177.2405731058643	255.43710005051602
Mouse	590558808	3511.2528788841532	380.60261899469805
Mouse	475623964	1270.8673821832715	177.23005393226
Mouse	585951863	1753.3515163683646	308.418558647106
Mouse	513510227	8302.262571212299	1413.13250854802
Mouse	591278744	5013.198914145074	520.481576359006
Mouse	555345752	4040.140197668659	420.504218696127
Mouse	564349611	2265.623488849295	262.162346511767
Mouse	582917630	2391.890674025597	693.243774257126
Mouse	583104750	3080.1302144245815	570.9540534339731
Mouse	585925172	1121.7462654093545	452.000703742863
Mouse	586566174	3985.3951875705015	381.674356716041
Mouse	481093525	2865.072353776629	258.158887490903
Mouse	564346637	3327.738046570682	670.785609834204
Mouse	509515969	2766.72075076086	224.015849421231
Mouse	556923554	3224.1335505344537	415.874389749494
Mouse	565407476	862.586080177958	429.37776486373
Mouse	566761793	2102.599391992452	292.277279725585
Mouse	323452196	3878.987015688152	11.2120908928843
Mouse	569998790	4596.136636962596	169.572862738372
Mouse	583434059	2902.9758780535485	459.29261683704806
Mouse	609435731	1978.2858773633523	215.27259439165297
Mouse	555001065	10302.296188644648	1356.08571402355
Mouse	580162374	3958.5873780482734	827.608490375536
Mouse	587045566	993.3272772513626	555.819895710138
Mouse	567952169	6032.358461747982	129.985840137631
Mouse	473543792	4338.768712158461	75.82308049053701
Mouse	565866518	2705.585819404665	287.670057941184
Mouse	547262585	1971.0798146979366	501.44795387704005
Mouse	580161872	2425.079505386471	342.91342418801
Mouse	490382353	6549.188691838086	487.312980455809
Mouse	573404307	3321.562133067223	446.50081100322
Mouse	536951541	2462.6726870170232	296.079943108368
Mouse	586072783	2045.305416943035	1009.10639494718
Mouse	466245544	3806.8230150265417	192.364661742607
Mouse	585944237	1131.9952142149134	579.42350988754
Mouse	594091004	9854.83488062432	377.593249266423
Mouse	569723367	3053.2007945081764	629.860792231348
Mouse	502359001	4199.903933202719	321.242591517231
Mouse	575774870	2289.033486391345	409.109021042625
Mouse	569723405	5674.860600345283	533.313935727388
Mouse	565462089	4004.542585428508	702.403309157852
Mouse	574993444	3310.2363619244115	64.43565410523941
Mouse	481136138	5552.034258252037	497.70411686176396
Mouse	488501071	3273.8018904192418	373.60220377906603
Mouse	575642695	7313.503336539833	595.432792483693
Mouse	574036994	3992.877266260326	1129.57518446628
Mouse	593321019	2664.856953501223	-7.581438026752281e-05
Mouse	570896453	1200.2294453744887	76.13112029291679
Mouse	586073683	2023.6443884869054	537.583681280743
Mouse	580145037	2831.2192886890252	480.140375369046
Mouse	527869035	2007.8501968409478	396.576137388648
Mouse	396608557	3568.6595625680475	220.26175627607898
Mouse	574992320	3827.938207001319	142.576273063623
Mouse	514824979	1645.5121783933414	657.7245370960289
Mouse	321708130	4330.064060087196	188.047372894881
Mouse	485184849	3883.315381173761	456.26735212527495
Mouse	475585413	2717.491247846532	82.1377761872674
Mouse	516362762	2310.166866946092	345.215633709564
Mouse	586071425	1218.3871914382412	587.923319373245
Mouse	557261437	1465.4705297532246	223.80901305684898
Mouse	571396942	2815.1477420383007	277.544649177289
Mouse	584254833	3763.517290454236	795.119090351497
Mouse	510715606	3589.9641778420378	600.9912916668869
Mouse	478058328	2208.1331085245174	25.7329996121248
Mouse	586379590	5996.8083315485555	690.000487751116
Mouse	530731648	10668.721621105782	440.71662846834505
Mouse	578774163	2194.2888105594675	101.62806984031602
Mouse	569958754	3111.3820937420887	309.74919987364495
Mouse	591265629	2313.768739311679	350.21070390800696
