Species	Specimen_ID	Soma_Volume	Soma_Surface_Area	Soma_Radius
Mouse	539014038	964.5894360408361	472.1128182403674	6.1294
Mouse	514767977	1043.4094149547225	497.4933637737075	6.292
Mouse	578774163	748.0223987479814	398.4989604965007	5.6313
Mouse	569958754	867.835387040929	439.9895493008157	5.9172
Mouse	591265629	816.6492993520809	422.51408089268654	5.7985
Mouse	582644266	373.4677703875191	250.79538683855432	4.4674
Mouse	578485753	881.9023829184952	444.73140843091034	5.949
Mouse	477880128	613.2591861256927	349.0707823502662	5.2705
Mouse	562003142	1049.4406683649695	499.40863963054335	6.3041
Mouse	486896849	2947.3966080551068	994.1299946219331	8.8944
Mouse	574067499	2338.8389132688662	852.087769725739	8.2345
Mouse	566541912	679.6070860697552	373.81442551644915	5.4541
Mouse	561532710	871.6689270146244	441.2843249200751	5.9259
Mouse	523748610	438.7906288423845	279.2473242526842	4.714
Mouse	475549284	1192.2579218401681	543.747912058453	6.578
Mouse	614777438	2319.6345336314334	847.4169925223517	8.2119
Mouse	519749342	571.4841949676878	333.0327476501678	5.148
Mouse	547344442	1131.1287112020466	524.9994018203695	6.4636
Mouse	569810649	433.6448009832368	277.05982386321165	4.6955
Mouse	473943881	1209.6328308464897	549.0178965383928	6.6098
Mouse	555089724	317.66681950834896	225.1465834731258	4.2328
Mouse	333604946	1416.2868918040065	609.8901437447277	6.9666
Mouse	476686112	1062.7810696772644	503.63201684360234	6.3307
Mouse	561553133	1912.9170685819447	745.2149394538014	7.7008
Mouse	555019563	1288.02032897963	572.4874047260415	6.7496
Mouse	567354967	470.49342567343234	292.5408354619364	4.8249
Mouse	577369606	1105.08127749501	516.9084184366081	6.4136
Mouse	571306690	1424.2914856802756	612.1859760506651	6.9797
Mouse	327962063	547.4511884247275	323.6292199247621	5.0748
Mouse	530731648	4353.125475489725	1289.2928716736114	10.1291
Mouse	586379590	2191.238005542511	815.8503278470411	8.0575
Mouse	586559181	1677.24744034966	682.6774375286925	7.3706
Mouse	514824979	783.9289368555388	411.15154030884906	5.72
Mouse	481136138	1634.6053298835004	671.0569803561363	7.3076
Mouse	488501071	1207.1091056896105	548.2539994351165	6.6052
Mouse	575642695	2203.0072587034037	818.7690353089374	8.0719
Mouse	574036994	1665.1930439272367	679.4025665766854	7.3529
Mouse	593321019	1438.972888234679	616.3856680427263	7.0036
Mouse	567927838	1290.5982402465966	573.2510209709346	6.7541
Mouse	586073683	790.8565899039986	413.5702429424062	5.7368
Mouse	535708196	386.507539098318	256.5996763067527	4.5188
Mouse	580145037	902.4282978338433	451.60554038525555	5.9948
Mouse	527869035	344.12598898509714	237.48112968239127	4.3472
Mouse	396608557	1301.1748202453134	576.3786579159749	6.7725
Mouse	574992320	968.8446934279028	473.5002737331729	6.1384
Mouse	570438732	467.8654662506545	291.45048666956615	4.8159
Mouse	478058328	566.9337775346762	331.2625543119858	5.1343
Mouse	321708130	2164.1823139780236	809.1207773901535	8.0242
Mouse	485184849	1261.9779209953797	564.7444379286582	6.7038
Mouse	475585413	874.9827499905495	442.40203761277655	5.9334
Mouse	516362762	1089.5952403551044	512.0679440847988	6.3835
