	specimen_id	dendrite_type	cell_firing_rate	threshold_i_long_square	sweep_number	sweep_FR	stimulus_absolute_amplitude	nm_volume
12	313862167	aspiny	32.5109860040206	130.0	34	9.000045000225	129.99999687846	3074.544326317512
13	313862167	aspiny	32.5109860040206	130.0	35	23.000115000575004	149.999998533268	3074.544326317512
14	313862167	aspiny	32.5109860040206	130.0	36	31.000155000775006	170.000000188075	3074.544326317512
15	313862167	aspiny	32.5109860040206	130.0	37	40.000200001	190.000001842883	3074.544326317512
16	313862167	aspiny	32.5109860040206	130.0	38	47.00023500117501	210.00000349769	3074.544326317512
17	313862167	aspiny	32.5109860040206	130.0	39	55.00027500137501	230.000005152498	3074.544326317512
18	313862167	aspiny	32.5109860040206	130.0	40	62.00031000155001	249.999992929517	3074.544326317512
19	313862167	aspiny	32.5109860040206	130.0	41	69.00034500172501	269.999994584325	3074.544326317512
43	321708130	aspiny	89.64498548362482	370.0	47	1.0000050000250003	370.000002858362	4330.064060087196
44	321708130	aspiny	89.64498548362482	370.0	48	3.0000150000750003	390.000004513169	4330.064060087196
45	321708130	aspiny	89.64498548362482	370.0	49	89.00044500222502	410.000006167976	4330.064060087196
46	321708130	aspiny	89.64498548362482	370.0	50	101.00050500252502	430.000007822784	4330.064060087196
47	321708130	aspiny	89.64498548362482	370.0	51	111.00055500277502	450.000009477591	4330.064060087196
48	321708130	aspiny	89.64498548362482	370.0	52	125.00062500312502	469.999983376823	4330.064060087196
49	321708130	aspiny	89.64498548362482	370.0	53	131.00065500327503	489.999985031631	4330.064060087196
50	321708130	aspiny	89.64498548362482	370.0	54	143.000715003575	509.999986686438	4330.064060087196
63	323452196	aspiny	79.55043803734809	270.0	40	27.000135000675005	269.999994584325	3878.987015688152
64	323452196	aspiny	79.55043803734809	270.0	41	59.00029500147501	289.999996239132	3878.987015688152
65	323452196	aspiny	79.55043803734809	270.0	43	79.00039500197501	329.999999548747	3878.987015688152
