Species	Specimen_ID	Total_Volume
Mouse	555241040	3149.566950550533
Mouse	530737765	3417.700938650117
Mouse	584872371	1615.3187173866334
Mouse	574038330	3222.967899808999
Mouse	477127614	1757.481248763785
Mouse	560965993	2754.122168410773
Mouse	566671538	1424.351022208813
Mouse	579662957	2428.3010564689503
Mouse	475068599	3737.9547393697126
Mouse	585841870	1919.2977372725027
Mouse	565888394	3184.109648668747
Mouse	517345160	3414.5191213830763
Mouse	524689239	2024.9178642670415
Mouse	585805211	2888.3715277101223
Mouse	555697303	2429.3043512362037
Mouse	586073850	1951.8610051151745
Mouse	585947309	1539.8395737472954
Mouse	586072464	2161.042697401142
Mouse	527095729	3434.3671219899907
Mouse	561325425	2042.6535645914644
Mouse	585830272	1749.1267881855429
Mouse	565120091	3406.6653395917733
Mouse	592952680	3177.2405731058643
Mouse	590558808	3511.2528788841537
Mouse	475623964	1270.8673821832717
Mouse	585951863	1753.3515163683646
Mouse	513510227	8302.262571212299
Mouse	591278744	5013.198914145074
Mouse	555345752	4040.140197668659
Mouse	564349611	2265.623488849295
Mouse	582917630	2391.8906740255975
Mouse	583104750	3080.130214424581
Mouse	585925172	1121.7462654093545
Mouse	586566174	3985.395187570502
Mouse	481093525	2865.0723537766294
Mouse	564346637	3327.738046570682
Mouse	509515969	2766.72075076086
Mouse	556923554	3224.133550534454
Mouse	565407476	862.586080177958
Mouse	566761793	2102.5993919924517
Mouse	323452196	3878.987015688152
Mouse	569998790	4596.136636962596
Mouse	583434059	2902.9758780535485
Mouse	609435731	1978.2858773633523
Mouse	555001065	10302.296188644648
Mouse	580162374	3958.5873780482743
Mouse	587045566	993.3272772513626
Mouse	567952169	6032.358461747982
Mouse	473543792	4338.768712158461
Mouse	565866518	2705.5858194046655
Mouse	547262585	1971.0798146979366
Mouse	580161872	2425.079505386471
Mouse	490382353	6549.188691838086
Mouse	573404307	3321.562133067223
Mouse	536951541	2462.672687017023
Mouse	586072783	2045.305416943035
Mouse	466245544	3806.823015026542
Mouse	585944237	1131.9952142149134
Mouse	594091004	9854.83488062432
Mouse	569723367	3053.200794508176
Mouse	502359001	4199.903933202719
Mouse	575774870	2289.033486391345
Mouse	569723405	5674.860600345283
Mouse	565462089	4004.542585428508
Mouse	574993444	3310.2363619244115
Mouse	481136138	5552.034258252037
Mouse	488501071	3273.801890419242
Mouse	575642695	7313.503336539833
Mouse	574036994	3992.877266260326
Mouse	593321019	2664.856953501223
Mouse	570896453	1200.2294453744887
Mouse	586073683	2023.6443884869059
Mouse	580145037	2831.2192886890252
Mouse	527869035	2007.8501968409482
Mouse	396608557	3568.6595625680475
Mouse	574992320	3827.9382070013185
Mouse	514824979	1645.5121783933414
Mouse	321708130	4330.064060087196
Mouse	485184849	3883.3153811737607
Mouse	475585413	2717.4912478465317
Mouse	516362762	2310.166866946092
Mouse	586071425	1218.3871914382412
Mouse	557261437	1465.4705297532244
Mouse	571396942	2815.147742038301
Mouse	584254833	3763.517290454236
Mouse	510715606	3589.964177842038
Mouse	478058328	2208.1331085245174
Mouse	586379590	5996.808331548556
Mouse	530731648	10668.721621105782
Mouse	578774163	2194.2888105594675
Mouse	569958754	3111.3820937420883
Mouse	591265629	2313.768739311679
Mouse	578485753	2576.9565877233695
Mouse	477880128	1395.8755175855579
Mouse	562003142	1661.3083727971693
Mouse	574067499	6609.667982178403
Mouse	561532710	2113.2111407070224
Mouse	523748610	2158.239492106956
Mouse	614777438	5245.165858034386
Mouse	547344442	5797.931158659215
Mouse	569810649	1513.0279280586315
Mouse	555089724	1023.61114743049
Mouse	476686112	3629.746400892131
Mouse	555019563	4218.446130381044
Mouse	539014038	2606.323271840961
Mouse	327962063	1178.4603814390207
Mouse	565209132	1700.9659916402913
Mouse	570946690	4015.8017881261885
Mouse	569809287	1376.7014433110285
Mouse	573622646	4549.36557135498
Mouse	534303031	4154.424723467041
Mouse	526531616	2747.323324413405
Mouse	471077857	3265.422888263583
Mouse	572609108	4415.532620140888
Mouse	475202388	3415.2207090391234
Mouse	482516713	1647.519963277889
Mouse	469992918	4408.629681077254
Mouse	574734127	2251.0444729821675
Mouse	565855793	3399.8096308985523
Mouse	583138568	1326.1714813918707
Mouse	565459685	2947.638272594065
Mouse	623185845	6004.160583754784
Mouse	570896413	1297.9587949405402
Mouse	614767057	3437.417557285309
Mouse	583138230	1540.2750340884957
Mouse	582613001	945.6381611019449
Mouse	577218602	3170.607682230524
Mouse	382982932	5406.395301276401
Mouse	487099387	1912.8153224388902
Mouse	547325858	8664.878900973727
Mouse	593312584	1387.1023350808348
Mouse	584231995	3377.789137133259
Mouse	490387590	4100.980154312846
Mouse	488504814	3458.3293332295125
Mouse	565417112	1685.4708917726362
Mouse	567007144	1513.172793706013
Mouse	534141324	3274.6430629635684
Mouse	585952606	1352.4521238062014
Mouse	569494755	2238.504955652347
Mouse	567312865	7486.918018041109
Mouse	509617624	3007.145195905623
Mouse	560992553	2239.331218745527
Mouse	583146274	910.5113183645442
Mouse	487661754	3677.596099268516
Mouse	565880475	1627.505203205208
Mouse	569072334	2951.9666473789703
Mouse	567927838	3460.3676973408224
Mouse	313862167	3074.5443263175125
Mouse	574377552	2836.4598842123114
Mouse	554779051	2296.0914275358887
Mouse	561940338	1713.9628842285713
Mouse	579626068	3273.5071832735775
Mouse	580014328	4568.137257671871
Mouse	556968207	2798.027326457444
Mouse	478110866	1030.4594988380081
Mouse	471087830	3402.891593973647
Mouse	569670455	2316.7774412608514
Mouse	567029686	2487.7793029602253
Mouse	473564515	2988.220167713736
Mouse	591268268	3475.9122665963478
Mouse	586072188	1009.7979374501327
Mouse	502269786	5926.681327281987
Mouse	574059157	3217.862747408029
Mouse	561517025	5288.426794460502
Mouse	560753350	9627.084515368042
Mouse	535728342	2117.475758588204
Mouse	566647353	3111.3396804499116
Mouse	585946742	804.1868787491652
Mouse	514767977	1434.243976707909
Mouse	571306690	4722.2262186833805
Mouse	577369606	1923.882542416598
Mouse	567354967	1938.184057085932
Mouse	561553133	3300.117138207078
Mouse	333604946	2698.1761297455273
Mouse	473943881	3650.553359176376
Mouse	519749342	3564.958964250794
Mouse	475549284	4672.176709024622
Mouse	566541912	2426.5481705062753
Mouse	486896849	8817.933657837959
Mouse	582644266	977.7576509487053
Mouse	586559181	3002.8346911900344
Mouse	561985849	6368.8932316116725
Mouse	571311039	3826.29361052182
Mouse	565863515	6022.196077557722
Mouse	570438732	1278.3350069123649
Mouse	535708196	2228.673232895622
Mouse	515315072	1547.1297201122684
Mouse	488677994	3849.82364272768
Mouse	324493977	2920.9155497576576
Mouse	571867358	2627.5379647834875
Mouse	565415071	2626.2323824002488
Mouse	313862373	6741.669841788583
Mouse	476086391	1079.5377716028247
Mouse	562632795	2931.3644544830167
Mouse	569965244	4763.4180431905925
Mouse	567320213	2874.6038756136695
Mouse	585832440	2496.9889404517344
Mouse	536306115	1887.533705788641
Mouse	471077468	3925.0993736636274
Mouse	566678900	1947.3069844677332
Mouse	473540161	3290.556762881131
Mouse	341442651	5529.8394491440795
Mouse	571379222	4569.276606070091
Mouse	479905853	2837.265819109792
Mouse	333785962	2416.757929675612
Mouse	323475862	1675.1219700221664
Mouse	475057898	2520.977746799483
Mouse	561934585	3182.6383399717643
Mouse	324266189	3369.22322269547
Mouse	474626527	1661.2646020708073
Mouse	554807924	1823.741166871772
Human	519832676	5324.976266713852
Human	596020931	6492.747097834413
Human	569095789	1359.4406400283688
Human	576095991	4486.05238171717
Human	531520637	5944.823514473935
Human	616647103	15158.78954803428
Human	542143598	2473.1009230811856
Human	531520401	13160.735209979819
Human	527942865	7324.465603211202
Human	529807751	5534.297948263755
Human	601927090	849.7035528940144
Human	517673596	13009.645503582742
Human	595999306	1820.2582896065244
Human	528042185	5414.534443231707
Human	488386626	4086.747560109835
Human	528638057	22979.814381507134
Human	571427524	4784.873991476567
Human	508282493	9552.521840567317
Human	576132767	3316.754637266239
Human	571709783	4171.240691822452
Human	571718621	3092.7041765833465
Human	508421103	2463.797511984752
Human	561432315	3409.1925804257558
Human	530062215	18702.857806363358
Human	527891102	5416.488995482663
Human	539640410	5534.938091730577
Human	541536216	3544.045327072458
Human	614230805	9112.012794866807
Human	614635228	5058.101729207299
Human	643572206	1768.8077212601602
Human	508410761	14793.040401469372
Human	643582610	4020.039848780666
Human	548473051	9258.938099420015
Human	525018757	4237.90443736414
Human	571483807	7194.219234877476
Human	571435969	2583.337880747758
Human	548421866	10227.331169743398
Human	508309649	13508.842395795102
Human	587710671	7456.130748307094
Human	561465305	2904.5258239420746
Human	571471295	6363.321835733976
Human	614197612	4688.442705370595
Human	528038990	10323.322086510085
Human	548408551	7227.482634316184
Human	567731428	5781.535051991489
Human	637034000	1713.3133420533445
Human	576084692	3189.736140111832
Human	613442532	9190.536007854686
Human	526785799	4780.435898353057
Human	571500474	5421.391376405169
Human	548494556	8803.957321625872
Human	614659629	5144.82456060617
Human	637038252	2165.3404930013057
Human	548459652	19819.048008288504
Human	567763632	9909.202054588412
Human	539661667	14365.567881646115
