Species	Specimen_ID	Total_Volume	Total_Surface_Area
Mouse	555241040	3149.566950550533	16978.56983995569
Mouse	530737765	3417.700938650117	14300.780163617092
Mouse	584872371	1615.3187173866334	6285.053057034037
Mouse	574038330	3222.967899808999	22409.034832338206
Mouse	477127614	1757.481248763785	7014.86470393748
Mouse	560965993	2754.122168410773	11704.27316187293
Mouse	566671538	1424.351022208813	10061.866730086684
Mouse	579662957	2428.3010564689503	8516.657774449726
Mouse	475068599	3737.9547393697126	15308.439032956865
Mouse	585841870	1919.2977372725027	15139.67227275476
Mouse	565888394	3184.109648668747	15378.755436035732
Mouse	517345160	3414.5191213830763	13390.527371724844
Mouse	524689239	2024.9178642670415	9254.56542802812
Mouse	585805211	2888.3715277101223	13201.972072035323
Mouse	555697303	2429.3043512362037	13234.120841922255
Mouse	586073850	1951.8610051151745	14409.635484409868
Mouse	585947309	1539.8395737472954	9845.909303651806
Mouse	586072464	2161.042697401142	11007.985962181468
Mouse	527095729	3434.3671219899907	18511.107017242604
Mouse	561325425	2042.6535645914644	11392.670968781267
Mouse	585830272	1749.1267881855429	9753.670952509705
Mouse	565120091	3406.6653395917733	21062.46963701006
Mouse	592952680	3177.2405731058643	15622.298909030123
Mouse	590558808	3511.2528788841537	19740.541627482224
Mouse	475623964	1270.8673821832717	9479.642845541299
Mouse	585951863	1753.3515163683646	11155.950301082541
Mouse	513510227	8302.262571212299	16760.805394434272
Mouse	591278744	5013.198914145074	16257.9232601014
Mouse	555345752	4040.140197668659	27358.571704032925
Mouse	564349611	2265.623488849295	15542.562717322086
Mouse	582917630	2391.8906740255975	14552.408715903219
Mouse	583104750	3080.130214424581	12770.096031648856
Mouse	585925172	1121.7462654093545	7589.585085205353
Mouse	586566174	3985.395187570502	19302.676047163553
Mouse	481093525	2865.0723537766294	14951.278009075515
Mouse	564346637	3327.738046570682	20058.28720923161
Mouse	509515969	2766.72075076086	12757.470199270785
Mouse	556923554	3224.133550534454	10724.433959981647
Mouse	565407476	862.586080177958	7550.203527354728
Mouse	566761793	2102.5993919924517	18153.95127082573
Mouse	323452196	3878.987015688152	11478.566412286451
Mouse	569998790	4596.136636962596	16281.076836907085
Mouse	583434059	2902.9758780535485	19421.21757570822
Mouse	609435731	1978.2858773633523	11413.082211578763
Mouse	555001065	10302.296188644648	21632.994663782505
Mouse	580162374	3958.5873780482743	21693.726518330863
Mouse	587045566	993.3272772513626	7016.626438259334
Mouse	567952169	6032.358461747982	34548.49408910563
Mouse	473543792	4338.768712158461	15273.077355201853
Mouse	565866518	2705.5858194046655	16330.462525723511
Mouse	547262585	1971.0798146979366	13627.527000830987
Mouse	580161872	2425.079505386471	16498.607726806993
Mouse	490382353	6549.188691838086	14297.61549298962
Mouse	573404307	3321.562133067223	24711.795219795298
Mouse	536951541	2462.672687017023	18716.71309571068
Mouse	586072783	2045.305416943035	12981.841678223682
Mouse	466245544	3806.823015026542	10852.131545921306
Mouse	585944237	1131.9952142149134	9120.844360566944
Mouse	594091004	9854.83488062432	11167.76906690466
Mouse	569723367	3053.200794508176	21232.72251962529
Mouse	502359001	4199.903933202719	16344.6683981923
Mouse	575774870	2289.033486391345	10520.500321320571
Mouse	569723405	5674.860600345283	21506.081147336878
Mouse	565462089	4004.542585428508	18632.22707777048
Mouse	574993444	3310.2363619244115	15232.214292914472
Mouse	481136138	5552.034258252037	16848.547788470605
Mouse	488501071	3273.801890419242	10042.640946672063
Mouse	575642695	7313.503336539833	14222.526432708168
Mouse	574036994	3992.877266260326	14019.764839229498
Mouse	593321019	2664.856953501223	9963.899418640704
Mouse	570896453	1200.2294453744887	7648.452248609666
Mouse	586073683	2023.6443884869059	11145.764734330682
Mouse	580145037	2831.2192886890252	14231.822823035742
Mouse	527869035	2007.8501968409482	11543.130322697934
Mouse	396608557	3568.6595625680475	10763.628921978847
Mouse	574992320	3827.9382070013185	17165.624822153826
Mouse	514824979	1645.5121783933414	10717.811651781207
Mouse	321708130	4330.064060087196	13362.369272429069
Mouse	485184849	3883.3153811737607	16512.27958813193
Mouse	475585413	2717.4912478465317	10234.001559630658
Mouse	516362762	2310.166866946092	8087.268185274097
Mouse	586071425	1218.3871914382412	9073.868095947284
Mouse	557261437	1465.4705297532244	6876.7166528799535
Mouse	571396942	2815.147742038301	16244.358154268515
Mouse	584254833	3763.517290454236	13366.0971106121
Mouse	510715606	3589.964177842038	13474.283741378109
Mouse	478058328	2208.1331085245174	8729.231018522154
Mouse	586379590	5996.808331548556	18366.82322169525
Mouse	530731648	10668.721621105782	20488.239679619655
Mouse	578774163	2194.2888105594675	9599.403089844216
Mouse	569958754	3111.3820937420883	14731.226262304455
Mouse	591265629	2313.768739311679	6381.638984915112
Mouse	578485753	2576.9565877233695	13636.657906143282
Mouse	477880128	1395.8755175855579	8372.25568589892
Mouse	562003142	1661.3083727971693	7106.748982996989
Mouse	574067499	6609.667982178403	17163.926933116338
Mouse	561532710	2113.2111407070224	11042.417491382854
Mouse	523748610	2158.239492106956	15857.252872923264
Mouse	614777438	5245.165858034386	21568.655671946257
Mouse	547344442	5797.931158659215	31209.39288072458
Mouse	569810649	1513.0279280586315	11832.123767184012
Mouse	555089724	1023.61114743049	9534.666612399787
Mouse	476686112	3629.746400892131	19605.968496277168
Mouse	555019563	4218.446130381044	18680.491148878777
Mouse	539014038	2606.323271840961	14868.411300677926
Mouse	327962063	1178.4603814390207	4951.103786092767
Mouse	565209132	1700.9659916402913	10910.336812746023
Mouse	570946690	4015.8017881261885	15086.34976935053
Mouse	569809287	1376.7014433110285	11043.223058494481
